,Compound,Date,Message,Negative,Neutral,Positive,Tweets Ago,User
0,0.0,Sun Sep 09 02:31:11 +0000 2018,Swedish election: Vote held amid anti-immigration surge https://t.co/aa5unYAuxZ,1.0,0.0,0.0,1,@BBCWorld
1,-0.3876,Sat Sep 08 23:22:55 +0000 2018,"US trade wars: The farmers who trust Trump, but not without worries https://t.co/BAYkse3h0v",0.591,0.282,0.127,2,@BBCWorld
2,0.0,Sat Sep 08 23:20:15 +0000 2018,Sergei Skripal and the Russian disinformation game https://t.co/7MmoQqu8M9,1.0,0.0,0.0,3,@BBCWorld
3,-0.6249,Sat Sep 08 23:11:52 +0000 2018,Families of Yemen bus strike victims despair at global response https://t.co/rLi6pWMmVs,0.567,0.433,0.0,4,@BBCWorld
4,0.0,Sat Sep 08 22:35:03 +0000 2018,North Korea to stage military parade and mass games https://t.co/14LdXzil4D,1.0,0.0,0.0,5,@BBCWorld
5,-0.7845,Sat Sep 08 20:44:18 +0000 2018,Greek riot police fire tear gas at Macedonia name protesters https://t.co/83mMKHw0WM,0.503,0.497,0.0,6,@BBCWorld
6,-0.6908,Sat Sep 08 17:35:43 +0000 2018,Syria war: Idlib rebels targeted by 'fiercest raids in weeks' https://t.co/FpGzhvihe8,0.612,0.388,0.0,7,@BBCWorld
7,-0.2263,Sat Sep 08 16:31:50 +0000 2018,Climate change: Protests held ahead of California summit https://t.co/yQcKnMPEyH,0.808,0.192,0.0,8,@BBCWorld
8,-0.1779,Sat Sep 08 11:42:04 +0000 2018,Egypt sentences hundreds over 2013 pro-Morsi protests https://t.co/cFeeFMCswX,0.659,0.209,0.132,9,@BBCWorld
9,0.0,Sat Sep 08 11:07:53 +0000 2018,Swedish election: PM says voting for anti-immigration SD is 'dangerous' https://t.co/YPhB8evgjY,1.0,0.0,0.0,10,@BBCWorld
10,-0.7351,Sat Sep 08 11:05:16 +0000 2018,Grieving Donegal mother denied taoiseach meeting https://t.co/iiC84Ou7cV,0.446,0.554,0.0,11,@BBCWorld
11,0.0772,Sat Sep 08 10:10:41 +0000 2018,Cardi B and Nicki Minaj feud turns physical at New York party https://t.co/shxrUb4Mrs,0.662,0.159,0.179,12,@BBCWorld
12,0.7351,Sat Sep 08 08:21:56 +0000 2018,"The giant barrier built to clear plastic from the ""Great Pacific Garbage Patch""

https://t.co/p6ambj9mFt https://t.co/KX4UbVyYPc",0.594,0.074,0.332,13,@BBCWorld
13,0.0,Sat Sep 08 03:20:26 +0000 2018,Alibaba's Jack Ma 'to step down and focus on philanthropy' https://t.co/SxClgd29IU,1.0,0.0,0.0,14,@BBCWorld
14,-0.875,Sat Sep 08 01:14:51 +0000 2018,Syria war: 'Russian strikes' target Idlib as offensive looms https://t.co/OoXw9a5ud7,0.353,0.647,0.0,15,@BBCWorld
15,-0.4939,Sat Sep 08 00:14:15 +0000 2018,The Indian activist jailed for being gay https://t.co/kwaDFjvOvc,0.686,0.314,0.0,16,@BBCWorld
16,0.34,Fri Sep 07 23:41:38 +0000 2018,Chevron wins Ecuador rainforest 'oil dumping' case https://t.co/Auql02PQkP,0.5,0.192,0.308,17,@BBCWorld
17,0.0,Fri Sep 07 22:51:03 +0000 2018,Resurgent anti-Trump 'resistance' defines a divided America https://t.co/LId6iekn9C,1.0,0.0,0.0,18,@BBCWorld
18,-0.4215,Fri Sep 07 22:32:10 +0000 2018,"RT @BBCSport: Juan Martin del Potro is through to the #USOpen final 

Rafael Nadal has retired with injury.

Reaction: https://t.co/tj9FBmv…",0.872,0.128,0.0,19,@BBCWorld
19,-0.6486,Fri Sep 07 21:29:13 +0000 2018,"RT @BBCBreaking: US rapper Mac Miller found dead at his Los Angeles home aged 26 after apparent overdose, US media report https://t.co/ytKh…",0.83,0.17,0.0,20,@BBCWorld
20,0.6369,Fri Sep 07 21:03:42 +0000 2018,"Barack Obama slams President Trump in Illinois speech

https://t.co/ENCNmEij2M (Tap your screen for best view on mo… https://t.co/2NNGCzqfdq",0.802,0.0,0.198,21,@BBCWorld
21,0.5574,Fri Sep 07 20:26:16 +0000 2018,Kavanaugh Supreme Court hearings: Five takeaways https://t.co/FJho4euD2B,0.625,0.0,0.375,22,@BBCWorld
22,0.3382,Fri Sep 07 19:59:05 +0000 2018,"Well, it is colourful! 🤔

https://t.co/R63CwDYYKN",0.715,0.0,0.285,23,@BBCWorld
23,0.0,Fri Sep 07 19:16:07 +0000 2018,Turkey HDP: Court jails pro-Kurdish leader Demirtas https://t.co/07pwcnjbps,1.0,0.0,0.0,24,@BBCWorld
24,0.0,Fri Sep 07 18:59:48 +0000 2018,"RT @BBCSport: Rafael Nadal and Novak Djokovic will bid to set up a 53rd meeting with victories in the US Open semi-finals on Friday.

More…",1.0,0.0,0.0,25,@BBCWorld
25,0.0,Fri Sep 07 18:59:09 +0000 2018,Russia 'tried to spy on France in space' - French minister https://t.co/LsEQDUmm8i,1.0,0.0,0.0,26,@BBCWorld
26,0.0,Fri Sep 07 18:50:33 +0000 2018,Trump urges inquiry into anonymous New York Times editorial https://t.co/h6ONabfR1B,1.0,0.0,0.0,27,@BBCWorld
27,0.4404,Fri Sep 07 18:41:29 +0000 2018,RT @BBCSport: Justin Rose shot a seven-under-par 63 to move into second place after the second round of the BMW Championship in Philadelphi…,0.879,0.0,0.121,28,@BBCWorld
28,-0.4404,Fri Sep 07 18:32:08 +0000 2018,Oregon romance novelist charged in husband's murder https://t.co/hr9y5Vc8Xq,0.331,0.43,0.238,29,@BBCWorld
29,-0.4404,Fri Sep 07 18:25:21 +0000 2018,"Donald Trump is ""capitalising on resentments that politicians have been fanning for years"" - Barack Obama reflects… https://t.co/mSdj6pJlLv",0.847,0.153,0.0,30,@BBCWorld
30,0.1372,Fri Sep 07 17:58:54 +0000 2018,"RT @BBCSport: Double Olympic champion Kristina Vogel says she ""can't walk any more"" after sustaining a serious spinal injury when she crash…",0.685,0.166,0.148,31,@BBCWorld
31,-0.6486,Fri Sep 07 17:13:36 +0000 2018,Obama attacks 'crazy stuff' from Trump White House https://t.co/cH0tJYU2ZI,0.569,0.431,0.0,32,@BBCWorld
32,-0.6124,Fri Sep 07 16:59:21 +0000 2018,Basra protests: Rioters attack Iran consulate https://t.co/tmAdCmohqY,0.5,0.5,0.0,33,@BBCWorld
33,0.0,Fri Sep 07 16:57:38 +0000 2018,"""A woman said I was too black, she couldn't see anything on the screen""

Belgian weather presenter Cécile Djunga sp… https://t.co/HClwbB6SYM",1.0,0.0,0.0,34,@BBCWorld
34,0.0,Fri Sep 07 16:45:53 +0000 2018,Cosby Show's Geoffrey Owens bags himself a new job https://t.co/zaZeefsn36,1.0,0.0,0.0,35,@BBCWorld
35,0.0,Fri Sep 07 16:28:00 +0000 2018,RT @BBCNews: Giant plastic catcher heads for Pacific Ocean clean-up https://t.co/0QJNnfU4B9,1.0,0.0,0.0,36,@BBCWorld
36,-0.5994,Fri Sep 07 15:54:40 +0000 2018,Why is there a war in Syria? https://t.co/jlYQQA1x2K,0.606,0.394,0.0,37,@BBCWorld
37,-0.3182,Fri Sep 07 15:44:33 +0000 2018,Brazil's Jair Bolsonaro 'lost 40% of blood in stabbing' https://t.co/GJtHAGTQ6Z,0.796,0.204,0.0,38,@BBCWorld
38,0.0,Fri Sep 07 15:28:30 +0000 2018,RT @BBCNews: Hawk knocked unconscious during bird chase https://t.co/s2TfoNjfcK,1.0,0.0,0.0,39,@BBCWorld
39,-0.7184,Fri Sep 07 15:27:23 +0000 2018,Texas officer kills man in flat she mistakes for her own https://t.co/xleQfR4ffC,0.625,0.375,0.0,40,@BBCWorld
40,-0.2263,Fri Sep 07 15:26:49 +0000 2018,Barcelona blocks tiny 'haibu' living pods https://t.co/b8eFeIZaWm,0.759,0.241,0.0,41,@BBCWorld
41,-0.0516,Fri Sep 07 14:10:49 +0000 2018,It's Always Sunny star @RMcElhenney mocks his 'unrealistic' body change https://t.co/cX94CCdSAX,0.608,0.203,0.189,42,@BBCWorld
42,0.0,Fri Sep 07 13:50:20 +0000 2018,Elon Musk smokes marijuana live on web show https://t.co/xGs6AJJLPz,1.0,0.0,0.0,43,@BBCWorld
43,0.0,Fri Sep 07 13:43:57 +0000 2018,Nigeria takes on Africa's mobile phone giant MTN https://t.co/5rKPAEp3MY,1.0,0.0,0.0,44,@BBCWorld
44,0.5106,Fri Sep 07 13:34:42 +0000 2018,"RT @BBC_HaveYourSay: One tattoo.

100 free pizzas every year for the next 100 years🍕🍕🍕

Would you do it?
https://t.co/T7CN2MeHDC",0.845,0.0,0.155,45,@BBCWorld
45,0.5106,Fri Sep 07 13:25:55 +0000 2018,"RT @BBCNews: ""With hard work and determination you can achieve your goals"" 

Haylee Martin quit her job as a teacher to follow her dream of…",0.775,0.052,0.173,46,@BBCWorld
46,-0.7003,Fri Sep 07 13:23:35 +0000 2018,RT @BBCAfrica: Woman and son critically injured in giraffe attack https://t.co/FpdK57zUSb https://t.co/X961aEGuX9,0.633,0.367,0.0,47,@BBCWorld
47,-0.2023,Fri Sep 07 13:15:13 +0000 2018,Simon Coveney: Donald Trump's visit will be controversial https://t.co/6qmgKUEnty,0.816,0.184,0.0,48,@BBCWorld
48,-0.2584,Fri Sep 07 12:45:00 +0000 2018,"RT @BBC_HaveYourSay: It's Not Always Sunny: @RMcElhenney says it's ""not that hard"" to get ripped
 https://t.co/VcHw8lbF2D",0.794,0.132,0.074,49,@BBCWorld
49,0.0,Fri Sep 07 11:53:56 +0000 2018,Ethiopian engineer Simegnew Bekele 'took his own life' https://t.co/kU9JXuCWFE,1.0,0.0,0.0,50,@BBCWorld
50,-0.5994,Fri Sep 07 11:38:53 +0000 2018,"Syria war: Iran, Russia and Turkey meet to discuss Idlib https://t.co/23pH8FkZDM",0.719,0.281,0.0,51,@BBCWorld
51,0.2732,Fri Sep 07 10:58:02 +0000 2018,"RT @BBCNews: Dilyn the springer spaniel is recovering well after surgery to remove 206 pebbles he ate on a trip to the beach 🐶

https://t.c…",0.92,0.0,0.08,52,@BBCWorld
52,-0.2263,Fri Sep 07 10:49:47 +0000 2018,Protests as Moldova 'deports Turkish teachers' https://t.co/Wy6wu7HjHc,0.759,0.241,0.0,53,@BBCWorld
53,0.2023,Fri Sep 07 10:42:42 +0000 2018,"""It's such an important issue... I must do what I can""

15-year-old Greta has gone on a school-strike to take her p… https://t.co/78qXEXkaLK",0.913,0.0,0.087,54,@BBCWorld
54,0.0,Fri Sep 07 10:31:54 +0000 2018,South Africa engineer Manglin Pillay sacked after sexism furore https://t.co/4uJUfQjNMC,1.0,0.0,0.0,55,@BBCWorld
55,0.1027,Fri Sep 07 10:19:18 +0000 2018,In pictures: Fresh protests rock Basra in Iraq https://t.co/FAPPJTpNO2,0.625,0.17,0.205,56,@BBCWorld
56,-0.2755,Fri Sep 07 10:02:39 +0000 2018,"""I don't like living here - it is too hard.""

Meet 12-year-old Kamroo - the Rohingya girl whose home could slip dow… https://t.co/EjMAgQ0pbI",0.905,0.095,0.0,57,@BBCWorld
57,0.0,Fri Sep 07 09:52:18 +0000 2018,Syria: Who's in control of Idlib? https://t.co/Xa4q6lLXpf,1.0,0.0,0.0,58,@BBCWorld
58,0.7351,Fri Sep 07 09:16:34 +0000 2018,"RT @BBCSport: Another shot at winning her first Grand Slam title since giving birth 💪 

Serena Williams is in the #USOpen final.

Report: h…",0.648,0.08,0.272,59,@BBCWorld
59,0.0,Fri Sep 07 09:16:18 +0000 2018,"RT @bbcworldservice: Banished for menstruating - ""when I have my period, I have to sleep in the cowshed."" https://t.co/Vo88UlSTPh",1.0,0.0,0.0,60,@BBCWorld
60,-0.8658,Fri Sep 07 08:14:38 +0000 2018,"RT @VictoriaLIVE: Can football ⚽️ help children traumatised by war and violence?

We’ve been to the vast Zaatari camp in Jordan where @Arse…",0.574,0.344,0.082,61,@BBCWorld
61,0.2023,Fri Sep 07 08:14:31 +0000 2018,"RT @BBCNews: BA boss apologises for 'malicious' data breach

https://t.co/7kPbQTydIT https://t.co/stq9NSehBl",0.847,0.0,0.153,62,@BBCWorld
62,-0.5994,Fri Sep 07 07:40:54 +0000 2018,Syria war: How Idlib may be changing Trump's strategy https://t.co/GkNY54SamE,0.698,0.302,0.0,63,@BBCWorld
63,-0.5106,Fri Sep 07 07:37:26 +0000 2018,"RT @BBCSteveR: The pro-Kremlin Izvestia newspaper warns Britain that if the UK launches cyber attacks against Russia over the Skripal case,…",0.815,0.185,0.0,64,@BBCWorld
64,0.5106,Fri Sep 07 06:27:30 +0000 2018,RT @BBCMaryam: BA says it’s investigating the theft of customer data from its website and mobile app. How comfortable are you with entering…,0.87,0.0,0.13,65,@BBCWorld
65,-0.7717,Fri Sep 07 04:14:16 +0000 2018,Fears grow for Japan quake survivors as death toll rises https://t.co/oCTxV8aExF,0.573,0.427,0.0,66,@BBCWorld
66,-0.7096,Fri Sep 07 03:49:30 +0000 2018,Syria war: US 'has seen evidence' chemical weapons being prepared https://t.co/3EWWAnVgia,0.479,0.407,0.114,67,@BBCWorld
67,-0.875,Fri Sep 07 03:35:59 +0000 2018,Cheryl Grimmer: Man denies murder of toddler in 48-year mystery https://t.co/YCPD8rfYnF,0.444,0.556,0.0,68,@BBCWorld
68,0.128,Fri Sep 07 02:30:29 +0000 2018,"""It isn't the law, what we still fear is people's perception.""

As India celebrates its historic gay rights ruling,… https://t.co/3H5wfHop4h",0.723,0.129,0.149,69,@BBCWorld
69,0.0,Fri Sep 07 02:18:26 +0000 2018,Isle of Man wallaby-related police call-outs revealed https://t.co/Ih1dJoJLjw,1.0,0.0,0.0,70,@BBCWorld
70,0.4404,Thu Sep 06 23:58:33 +0000 2018,Japan's push to resume whaling for profit https://t.co/M1qZo4SJIo,0.707,0.0,0.293,71,@BBCWorld
71,0.3182,Thu Sep 06 23:55:41 +0000 2018,100 Women: The truth behind the 'bra-burning' feminists https://t.co/ZMChY9dAAQ,0.777,0.0,0.223,72,@BBCWorld
72,0.0,Thu Sep 06 21:53:05 +0000 2018,What it means to be gay in rural India https://t.co/FySFtRzlZ8,1.0,0.0,0.0,73,@BBCWorld
73,-0.8225,Thu Sep 06 20:59:22 +0000 2018,RT @BBCBreaking: Twitter permanently bans US conspiracy theorist Alex Jones and Infowars for abusive behaviour https://t.co/6hp5VIIf7F,0.648,0.352,0.0,74,@BBCWorld
74,-0.2263,Thu Sep 06 20:25:03 +0000 2018,Basra protests: Government buildings torched in new unrest https://t.co/hZuMsuYJxJ,0.808,0.192,0.0,75,@BBCWorld
75,-0.4404,Thu Sep 06 20:14:04 +0000 2018,Brazil politician Jair Bolsonaro stabbed in street https://t.co/SA0SPVICze,0.707,0.293,0.0,76,@BBCWorld
76,0.0,Thu Sep 06 19:59:06 +0000 2018,The Whodunnit editorial puzzling Washington https://t.co/BWZSqZ2y08,1.0,0.0,0.0,77,@BBCWorld
77,-0.7003,Thu Sep 06 19:44:20 +0000 2018,Novichok attack: Russia scorn for UK's 'cheap soap opera' https://t.co/mAQV0Qc56o,0.58,0.42,0.0,78,@BBCWorld
78,0.4019,Thu Sep 06 19:28:46 +0000 2018,"RT @BBCBreaking: Obituary: Burt Reynolds - full of charm &amp; swagger, he became one of Hollywood's best-known stars

https://t.co/d1LpTUiG6o…",0.863,0.0,0.137,79,@BBCWorld
79,0.0,Thu Sep 06 19:06:31 +0000 2018,"RT @BBCBreaking: Burt Reynolds dies, aged 82 - he starred in a string of hits in the 1970s, including Smokey and the Bandit &amp; Deliverance h…",1.0,0.0,0.0,80,@BBCWorld
80,0.0,Thu Sep 06 18:16:03 +0000 2018,Dancer sues New York City Ballet over nude photos https://t.co/Kw3bEWr7Bi,1.0,0.0,0.0,81,@BBCWorld
81,-0.6997,Thu Sep 06 17:36:36 +0000 2018,"RT @BBCNews: Salisbury poisoning: US, France, Germany and Canada back UK claim attack ""almost certainly"" ordered by Russian government http…",0.654,0.265,0.081,82,@BBCWorld
82,-0.5267,Thu Sep 06 17:18:07 +0000 2018,Ohio officer who Tasered girl 'violated department policy' https://t.co/p7ObehbIJB,0.702,0.298,0.0,83,@BBCWorld
83,-0.5423,Thu Sep 06 17:04:33 +0000 2018,"RT @BBCNews: Salisbury poisoning: ""The number of inconsistencies and issues with the new British so-called evidence is off the charts"" - Ru…",0.788,0.158,0.054,84,@BBCWorld
84,0.0772,Thu Sep 06 16:56:41 +0000 2018,"US 2018 mid-terms: The challenges facing Donald Trump, in six charts

Thread 👇 https://t.co/9w3jQ6xDY3 https://t.co/9ttN8WGywg",0.929,0.0,0.071,85,@BBCWorld
85,0.4939,Thu Sep 06 16:49:19 +0000 2018,Brett Kavanaugh: Supreme Court pick 'questioned abortion ruling' https://t.co/dTtENBpOlQ,0.583,0.117,0.3,86,@BBCWorld
86,0.0,Thu Sep 06 16:37:08 +0000 2018,India gay sex ruling: Where in the world is gay sex still against the law? https://t.co/sncqtqAW41,1.0,0.0,0.0,87,@BBCWorld
87,-0.4939,Thu Sep 06 16:34:18 +0000 2018,Genoa bridge collapse: Italian prosecutors investigate 20 people https://t.co/1Fs6qP0SZX,0.714,0.286,0.0,88,@BBCWorld
88,-0.765,Thu Sep 06 15:50:13 +0000 2018,Anger as Italy arrests Tunisian fishermen 'rescuing migrants' https://t.co/bz1fL1U8o1,0.515,0.485,0.0,89,@BBCWorld
89,0.0,Thu Sep 06 14:59:35 +0000 2018,NYT Trump column: Linguistic hunt to identify White House insider https://t.co/X6y9cEar0j,1.0,0.0,0.0,90,@BBCWorld
90,0.0,Thu Sep 06 14:54:23 +0000 2018,Egyptian 'harasser' stripped by crowd https://t.co/cL5s9D2dSj,1.0,0.0,0.0,91,@BBCWorld
91,0.3818,Thu Sep 06 14:48:26 +0000 2018,"RT @BBCNews: ""Bad"" photoshop puts Frank Lampard in a picture to promote a new New York park

https://t.co/Ct0DuIki5T https://t.co/T3DhPFWmcy",0.86,0.0,0.14,92,@BBCWorld
92,-0.765,Thu Sep 06 14:25:18 +0000 2018,Boston police captain's son jailed for IS terror plot https://t.co/glZbYtmJs5,0.548,0.452,0.0,93,@BBCWorld
93,0.0,Thu Sep 06 14:23:39 +0000 2018,".@TOMFORD kicks off New York Fashion Week #NYFW

https://t.co/sQAwtp8e2l",1.0,0.0,0.0,94,@BBCWorld
94,-0.4215,Thu Sep 06 14:18:56 +0000 2018,Cécile Djunga: Belgian forecaster hits out at race insults https://t.co/SYQAXbv8QF,0.763,0.237,0.0,95,@BBCWorld
95,-0.4215,Thu Sep 06 13:09:14 +0000 2018,Mike Pence denies he wrote 'gutless' anonymous editorial #NYTimesOpEd https://t.co/hVf3XlYTQo,0.763,0.237,0.0,96,@BBCWorld
96,0.0,Thu Sep 06 12:57:04 +0000 2018,"RT @BBCSport: Osi Umenyiora says Colin Kaepernick will go down in history alongside Muhammad Ali for taking a stand over his beliefs.

http…",1.0,0.0,0.0,97,@BBCWorld
97,0.6249,Thu Sep 06 12:41:03 +0000 2018,"Joy in India after landmark ruling legalises gay sex #Section377

https://t.co/DplZvumVhS",0.638,0.0,0.362,98,@BBCWorld
98,0.0,Thu Sep 06 12:27:47 +0000 2018,Trump 'resistance' op-ed: Does it pass the anonymity test? https://t.co/xUq23vyN56,1.0,0.0,0.0,99,@BBCWorld
99,0.0,Thu Sep 06 11:42:36 +0000 2018,India gay sex ruling: Twitter responds to abolition of #Section377 https://t.co/EsfiwkXnYW,1.0,0.0,0.0,100,@BBCWorld
100,0.0772,Sun Sep 09 03:30:13 +0000 2018,"Whitney Austin was shot 12 times as she walked to work. She lived, thanks to emergency workers… https://t.co/iSVPJmCNkZ",0.744,0.121,0.135,1,@CNN
101,-0.7717,Sun Sep 09 03:13:52 +0000 2018,A Dallas police officer shot and killed a man after mistakenly entering his apartment at the complex where she also… https://t.co/VtAO1OVtoO,0.717,0.283,0.0,2,@CNN
102,0.0,Sun Sep 09 03:00:16 +0000 2018,"Archaeologists believe they have unearthed one of Egypt's oldest-known settlements in the Nile Delta, dating back s… https://t.co/zNtw8XmPWE",1.0,0.0,0.0,3,@CNN
103,0.4215,Sun Sep 09 02:30:11 +0000 2018,This California nurse discovered that her colleague was a patient she cared for as a baby 28 years ago… https://t.co/cxLLSuyo0l,0.859,0.0,0.141,4,@CNN
104,0.34,Sun Sep 09 02:00:20 +0000 2018,A Chinese kindergarten welcomed children back to school at the beginning of term with a pole dancing display https://t.co/hxVy5k00U6,0.87,0.0,0.13,5,@CNN
105,-0.4019,Sun Sep 09 01:30:15 +0000 2018,Behind the glamour of the Miss America pageant lies discord and division https://t.co/aaLVFTs7IA https://t.co/JwfVCX6kRf,0.488,0.346,0.166,6,@CNN
106,0.0,Sun Sep 09 01:00:07 +0000 2018,Letter suggests Vatican knew of sexual misconduct allegations against former Cardinal Theodore McCarrick in 2000… https://t.co/3uARKeDRZp,1.0,0.0,0.0,7,@CNN
107,0.0,Sun Sep 09 00:45:00 +0000 2018,A high school student who made faces during President Trump's rally in Montana says he thinks he was removed from t… https://t.co/XXWsRbSNEi,1.0,0.0,0.0,8,@CNN
108,0.0,Sun Sep 09 00:30:13 +0000 2018,"Secretary of State Mike Pompeo has received a letter from North Korean leader Kim Jong Un to President Trump, accor… https://t.co/Zb65tZTXwz",1.0,0.0,0.0,9,@CNN
109,0.5216,Sun Sep 09 00:15:04 +0000 2018,Chicago bishop who didn't report child abuse allegations to police is living on archdiocese property… https://t.co/XgJs0lDRBG,0.817,0.0,0.183,10,@CNN
110,0.0,Sun Sep 09 00:00:22 +0000 2018,"Breaking hearts, Elton John kicks off final world tour https://t.co/2PvLzue2eq https://t.co/FBBFfsqIgA",1.0,0.0,0.0,11,@CNN
111,-0.2023,Sat Sep 08 23:45:06 +0000 2018,"President Trump, Republicans using impeachment threat as tool to motivate their base https://t.co/hR81HTIXYo https://t.co/7NCnW8Hvwx",0.667,0.189,0.144,12,@CNN
112,0.6597,Sat Sep 08 23:30:04 +0000 2018,"Democratic Senate hopes are alive, though precarious https://t.co/yPCppeoQYm | Analysis by Harry Enten https://t.co/fiEbeVZXUP",0.671,0.0,0.329,13,@CNN
113,-0.0772,Sat Sep 08 23:15:02 +0000 2018,"Mick Mulvaney, a top Trump administration official, warned behind closed doors that Republican candidates such as T… https://t.co/YjS8OpqwPG",0.794,0.111,0.095,14,@CNN
114,0.34,Sat Sep 08 23:00:10 +0000 2018,Why big food companies are giving money to startups https://t.co/JmSzLLRjvb https://t.co/LHTuemkTEb,0.806,0.0,0.194,15,@CNN
115,0.4005,Sat Sep 08 22:45:09 +0000 2018,Why Russian trolls may be more excited that the NFL is back than you are https://t.co/wuiihMBN0l https://t.co/Z1RwgE86pU,0.856,0.0,0.144,16,@CNN
116,0.5574,Sat Sep 08 22:30:12 +0000 2018,What we learned about Judge Brett Kavanaugh's future on the Supreme Court from his hearing https://t.co/knvX2kF1hA https://t.co/mckLbMFiyU,0.816,0.0,0.184,17,@CNN
117,-0.6486,Sat Sep 08 22:15:09 +0000 2018,California man who allegedly stuck his dates with the check faces years in prison https://t.co/RpgWuVzh8Q https://t.co/gchr7psWmg,0.725,0.275,0.0,18,@CNN
118,0.6249,Sat Sep 08 22:10:54 +0000 2018,"BREAKING: Japan's Naomi Osaka has won her first grand slam title at the US Open. She beat Serena Williams, who was… https://t.co/RDmyTdX5KW",0.671,0.092,0.237,19,@CNN
119,0.0,Sat Sep 08 22:00:10 +0000 2018,New York gubernatorial candidate Cynthia Nixon makes final pitch to progressives in NY governor primary… https://t.co/XmDW8iG6iI,1.0,0.0,0.0,20,@CNN
120,0.0258,Sat Sep 08 21:55:16 +0000 2018,Rappers Nicki Minaj and Cardi B get into fight at New York Fashion Week party https://t.co/3JJYtS4ojK (corrects lin… https://t.co/MMwL5vD1e8,0.751,0.122,0.127,21,@CNN
121,-0.0258,Sat Sep 08 21:45:03 +0000 2018,"Airstrikes hit Syria's Idlib province, the last remaining rebel stronghold https://t.co/mPmHZbo6z5 https://t.co/kL2DsjvpiR",0.763,0.122,0.115,22,@CNN
122,-0.296,Sat Sep 08 21:30:10 +0000 2018,Russian accused of hacking the data of 80 million people extradited to US https://t.co/TdGhogbPh6 https://t.co/IPgMFSCUQj,0.864,0.136,0.0,23,@CNN
123,0.25,Sat Sep 08 21:15:08 +0000 2018,"Bill Daily, witty sidekick on ""I Dream of Jeannie,"" dies at 91 https://t.co/MEJ8yi0tGS https://t.co/YvvW8dLQqD",0.867,0.0,0.133,24,@CNN
124,0.0,Sat Sep 08 21:00:11 +0000 2018,Novak Djokovic cruises to his eighth US Open men's final https://t.co/Qx3zaMzFQh https://t.co/OC8ZvHfzO6,1.0,0.0,0.0,25,@CNN
125,0.0,Sat Sep 08 20:45:08 +0000 2018,The onetime mistress of former deputy Republican National Committee Finance Chairman Elliott Broidy alleges in newl… https://t.co/eOumrTNAv9,1.0,0.0,0.0,26,@CNN
126,0.0,Sat Sep 08 20:30:12 +0000 2018,Another frontier for the US-Russian rivalry — outer space https://t.co/7okQUakxph https://t.co/K5TFAPJ1IU,1.0,0.0,0.0,27,@CNN
127,-0.296,Sat Sep 08 20:15:04 +0000 2018,Government erred in claiming accused Russian spy Maria Butina offered to trade sex for political access… https://t.co/wRgm4GL2oe,0.879,0.121,0.0,28,@CNN
128,0.0,Sat Sep 08 20:00:06 +0000 2018,A high school student who made faces during President Trump's rally in Montana says he thinks he was removed from t… https://t.co/kRJecQtcqq,1.0,0.0,0.0,29,@CNN
129,0.7269,Sat Sep 08 19:45:00 +0000 2018,"""The good news is, in two months we have the chance to restore some sanity in our politics."" At a campaign rally in… https://t.co/hpBMKlIqFX",0.738,0.0,0.262,30,@CNN
130,0.0,Sat Sep 08 19:30:06 +0000 2018,"We're in Anaheim, California, where former President Barack Obama is headlining his first rally of the 2018 midterm… https://t.co/P9xQwCSoUO",1.0,0.0,0.0,31,@CNN
131,0.0,Sat Sep 08 19:15:06 +0000 2018,Serena Williams' husband posts video of her long post-baby journey back to the US Open https://t.co/HuBOPVwuvO https://t.co/JufQuc2o5w,1.0,0.0,0.0,32,@CNN
132,-0.8271,Sat Sep 08 19:00:08 +0000 2018,A teen who spent his free time speaking out against gun violence has been shot and killed in Chicago… https://t.co/Nt2F6PGn76,0.512,0.375,0.113,33,@CNN
133,0.1779,Sat Sep 08 18:45:07 +0000 2018,"As Sweden flirts with the far right, Europe holds its breath https://t.co/m4pw0pwZkq https://t.co/xptULJI6KU",0.876,0.0,0.124,34,@CNN
134,-0.4767,Sat Sep 08 18:30:12 +0000 2018,Why counting calories in a restaurant could be dangerous https://t.co/zcaXCC34aK (via @CNNOpinion) https://t.co/njChUlsHfG,0.78,0.22,0.0,35,@CNN
